Pathway_ID	Pathway_Name	Class	Gene	Drug	Related_Pathway
hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	CYP11A1; CYP17A1; STS; SULT2B1; CYP21A2; HSD3B1; HSD3B2; SRD5A1; SRD5A2; SRD5A3; AKR1C2; AKR1C3; CYP11B1; CYP11B2; AKR1D1; AKR1C4; HSD11B1; HSD11B1L; HSD11B2; AKR1C1; CYP7B1; SULT1E1; HSD17B1; HSD17B2; HSD17B6; HSD17B7; HSD17B8; HSD17B12; DHRS11; CYP1A1; CYP1A2; CYP3A5; CYP3A7; CYP3A7-CYP3A51P; CYP2E1; CYP3A4; CYP1B1; CYP19A1; CYP7A1; HSD17B11; UGT2A1; UGT2A3; UGT2B17; UGT2B11; UGT2B28; UGT1A6; UGT1A4; UGT1A1; UGT1A3; UGT2B10; UGT1A9; UGT2B7; UGT1A10; UGT1A8; UGT1A5; UGT2B15; UGT1A7; UGT2B4; UGT2A2; COMT; LRTOMT; HSD17B3	D00152; Phloroglucinol (JAN); D00153; Testolactone (USP/INN); D00156; Glycyrrhetinic acid (JAN); D00321; Finasteride (JAN/USP/INN); D00351; Ketoconazole (JP18/USP); D00410; Metyrapone (JP18/USP/INN); D00420; Mitotane (JAN/USP/INN); D00574; Aminoglutethimide (USP/INN); D00960; Anastrozole (JP18/USP/INN); D00963; Exemestane (JAN/USP/INN); D00964; Letrozole (JAN/USP/INN); D01134; Epristeride (JAN/USAN/INN); D01180; Trilostane (JAN/USAN); D01259; Flopropione (JP18/INN); D01899; Carbenoxolone sodium (JAN/USAN); D02028; Diammonium glycyrrhizinate (JAN); D02264; Dipotassium glycyrrhizinate (JAN); D02451; Fadrozole hydrochloride (USAN); D03107; Bexlosteride (USAN/INN); D03749; Plomestane (USAN/INN); D03778; Fadrozole hydrochloride hydrate (JAN); D03781; Liarozole fumarate (USAN); D03784; Liarozole hydrochloride (USAN); D03786; Vorozole (USAN/INN); D03820; Dutasteride (JAN/USP/INN); D04035; Epostane (USAN/INN); D04498; Idronoxil (USAN/INN); D04646; Izonsteride (USAN/INN); D04987; Monoammonium glycyrrhizinate (JAN); D05019; Metyrapone tartrate (USAN); D05746; Rogletimide (USAN/INN); D07121; Alfatradiol (INN); D07260; Formestane (INN); D07615; Carbenoxolone (INN); D07940; Fadrozole (INN); D08369; Polyphloroglucinol phosphate; D09701; Abiraterone acetate (JAN/USP); D09915; Irosustat (USAN/INN); D10125; Galeterone (USAN); D10146; Orteronel (JAN/USAN); D10950; Levoketoconazole (USAN/INN); D11061; Osilodrostat (USAN/INN); D11062; Osilodrostat phosphate (JAN/USAN); D12773; Lorundrostat (USAN/INN); D12774; Lorundrostat hydrobromide (USAN); D12789; Baxdrostat (USAN/INN)	Steroid biosynthesis
hsa00561	Glycerolipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	GLYCTK; ALDH2; ALDH3A2; ALDH1B1; ALDH7A1; ALDH9A1; AKR1B1; AKR1B10; AKR1B15; AKR1A1; TKFC; GK2; GK; GPAM; GPAT2; GPAT4; GPAT3; AGPAT1; AGPAT2; AGPAT3; AGPAT4; AGPAT5; LCLAT1; MBOAT1; MBOAT2; PLPP1; PLPP3; PLPP2; LPIN1; LPIN3; LPIN2; PLPP5; PLPP4; DGKZ; DGKD; DGKI; DGKA; DGKE; DGKB; DGKH; DGKG; DGKQ; DGKK; DGAT1; DGAT2; MOGAT3; CEL; PNPLA2; PNPLA3; PNLIP; PNLIPRP1; PNLIPRP2; PNLIPRP3; LIPC; LIPF; LIPG; LPL; AGK; MGLL; ABHD16A; MOGAT1; MOGAT2; GLA	D02047; Dextran sulfate sodium (JAN); D03343; Dextran sulfate sodium sulfur 5 (JP18); D03747; Ibrolipim (USAN/INN); D04028; Orlistat (JAN/USP/INN); D04268; Elastase ES; D05255; Omega-3-acid ethyl esters (USP); D09208; Cetilistat (JAN/USAN/INN); D10657; Pradigastat sodium (USAN); D10664; Pradigastat (USAN); D12390; Caficrestat (USAN/INN)	Glycolysis / Gluconeogenesis; Fatty acid degradation; Glycerophospholipid metabolism
hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	GPD1L; GPD1; GPD2; GPAM; GPAT2; GPAT4; GPAT3; AGPAT1; AGPAT2; AGPAT3; AGPAT4; AGPAT5; LCLAT1; MBOAT1; MBOAT2; GNPAT; ADPRM; PLPP1; PLPP3; PLPP2; LPIN1; LPIN3; LPIN2; PLPP5; PLPP4; DGKZ; DGKD; DGKI; DGKA; DGKE; DGKB; DGKH; DGKG; DGKQ; DGKK; CHPT1; CEPT1; PLD1; PLD2; PLD3; PLD4; LCAT; PLA2G10; PLA2G2D; PLA2G2E; PLA2G3; PLA2G2F; PLA2G12A; PLA2G12B; PLA2G1B; PLA2G5; PLA2G2A; PLA2G2C; PLA2G4E; PLA2G4A; JMJD7-PLA2G4B; PLA2G4B; PLA2G4C; PLA2G4D; PLA2G4F; PLA2G6; PLB1; PLAAT3; PLAAT2; LPCAT2; LPCAT1; LPCAT4; LPCAT3; LYPLA1; PLA2G15; LYPLA2; PNPLA6; PNPLA7; GPCPD1; CHAT; ACHE; CHKA; CHKB; PHOSPHO1; PCYT1B; PCYT1A; SELENOI; ETNK1; ETNK2; PCYT2; ETNPPL; PEMT; CDS1; CDS2; PLA1A; PTDSS1; PTDSS2; PISD; PGS1; CRLS1; TAFAZZIN; LPGAT1; CDIPT; MBOAT7	D00469; Pralidoxime chloride (USP); D00487; Pyridostigmine bromide (JP18/USP/INN); D00670; Donepezil hydrochloride (JP18/USP); D00995; Neostigmine bromide (JAN/USP/INN); D00998; Neostigmine methylsulfate (JP18/USP); D01001; Ambenonium chloride (JP18/INN); D01228; Distigmine bromide (JP18/INN); D01572; Pralidoxime iodide (JAN/USAN); D02068; Tacrine hydrochloride (USP); D02173; Galantamine hydrobromide (JAN/USP); D02558; Rivastigmine tartrate; D02565; Dimetacrine (INN); D03822; Rivastigmine (JAN/USP/INN); D04292; Galantamine (USAN/INN); D05590; Pralidoxime mesylate (USAN); D07869; Donepezil (JAN/INN); D08261; Neostigmine (BAN); D08555; Tacrine (INN); D09750; Ipidacrine hydrochloride hydrate (JAN); D12318; Buntanetap (USAN); D12319; Buntanetap tartrate (USAN)	Glycolysis / Gluconeogenesis; Glycine, serine and threonine metabolism; Glycerolipid metabolism; Inositol phosphate metabolism; Glycosylphosphatidylinositol (GPI)-anchor biosynthesis; Ether lipid metabolism; Pyruvate metabolism
hsa00565	Ether lipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	AGPS; PLPP1; PLPP3; PLPP2; SELENOI; CHPT1; CEPT1; PEDS1; PEDS1-UBE2V1; PLA2G10; PLA2G2D; PLA2G2E; PLA2G3; PLA2G2F; PLA2G12A; PLA2G12B; PLA2G1B; PLA2G5; PLA2G2A; PLA2G2C; PLA2G4E; PLA2G4A; JMJD7-PLA2G4B; PLA2G4B; PLA2G4C; PLA2G4D; PLA2G4F; PLA2G6; PLB1; PLAAT3; PLAAT2; LPCAT4; ENPP6; ENPP2; GDPD3; GDPD1; TMEM86B; PLD1; PLD2; PLD3; PLD4; UGT8; GAL3ST1; LPCAT2; LPCAT1; PAFAH1B1; PAFAH1B2; PAFAH1B3; PLA2G7; PAFAH2	D03650; Darapladib (JAN/USAN); D04368; Goxalapladib (USAN); D05728; Rilapladib (USAN); D08107; Varespladib (USAN/INN); D08221; Varespladib methyl (USAN); D11844; Ziritaxestat (USAN/INN)	Glycerophospholipid metabolism
hsa00600	Sphingolipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	SPTLC1; SPTLC2; SPTLC3; KDSR; CERS1; CERS2; CERS4; CERS3; CERS6; CERS5; ASAH1; ASAH2; ACER2; ACER1; ACER3; DEGS1; DEGS2; SGMS1; SGMS2; SMPD1; SMPD2; SMPD3; SMPD4; ENPP7; CERK; PLPP1; PLPP3; PLPP2; SGPP1; SGPP2; SPHK1; SPHK2; SGPL1; UGCG; GBA1; GBA2; B4GALT6; B4GALT5; GLB1; UGT8; GALC; GAL3ST1; ARSA; NEU1; NEU3; NEU4; NEU2; GLA; B4GALNT1; HEXA; HEXB; GM2A; PSAP; PSAPL1	D02784; Agalsidase alfa (USAN/INN); D02810; Alglucerase (JAN/USAN/INN); D03020; Imiglucerase (USAN/INN); D03228; Agalsidase beta (INN); D05031; Migalastat hydrochloride (JAN/USAN); D05032; Miglustat (JAN/USAN/INN); D09029; Velaglucerase alfa (USAN); D09675; Taliglucerase alfa (USAN/INN); D09893; Eliglustat (USAN/INN); D09894; Eliglustat tartrate (JAN/USAN); D10820; Olipudase alfa (USAN/INN); D11439; Lucerastat (JAN/USAN/INN); D11633; Venglustat (USAN/INN); D11685; Pegunigalsidase alfa (USAN/INN); D12462; Cebsulfase alfa (USAN/INN)	Glycine, serine and threonine metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series; Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - ganglio series
hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	PLA2G10; PLA2G2D; PLA2G2E; PLA2G3; PLA2G2F; PLA2G12A; PLA2G12B; PLA2G1B; PLA2G5; PLA2G2A; PLA2G2C; PLA2G4E; PLA2G4A; JMJD7-PLA2G4B; PLA2G4B; PLA2G4C; PLA2G4D; PLA2G4F; PLA2G6; PLB1; PLAAT3; PLAAT2; PTGS1; PTGS2; PTGES; PTGES2; PTGES3; CBR1; CBR3; PRXL2B; HPGD; TBXAS1; PTGDS; HPGDS; AKR1C3; PTGIS; ALOX5; LTA4H; PTGR3; PTGR2; PTGR1; CYP4F2; CYP4F3; LTC4S; GGT1; GGT5; GPX4; CYP2E1; CYP2J2; CYP2U1; CYP2C19; CYP4F8; ALOX12; ALOXE3; ALOX12B; ALOX15B; CYP2B6; CYP2C8; CYP2C9; EPHX2; ALOX15	D00109; Aspirin (JP18/USP); D00118; Naproxen (JP18/USP/INN); D00120; Sulindac (JP18/USP/INN); D00126; Ibuprofen (JP18/USP/INN); D00127; Piroxicam (JP18/USP/INN); D00130; Diflunisal (JAN/USP/INN); D00132; Ketoprofen (JP18/USP/INN); D00141; Indomethacin (USP); D00151; Mefenamic acid (JP18/USP/INN); D00158; Tolmetin sodium (JAN/USP); D00169; Meclofenamate sodium (USP); D00217; Acetaminophen (JP18/USP); D00315; Etodolac (JP18/USP/INN); D00330; Flurbiprofen (JP18/USP/INN); D00414; Zileuton (USP/INN); D00425; Nabumetone (JP18/USP/INN); D00428; Salsalate (USP/INN); D00463; Oxaprozin (JP18/USP/INN); D00510; Phenylbutazone (JP18/USP/INN); D00566; Sodium salicylate (JP18/USP); D00567; Celecoxib (JP18/USP/INN); D00568; Rofecoxib (JAN/USAN/INN); D00810; Choline salicylate (JAN/USAN/INN); D00813; Ketorolac tromethamine (USP); D00827; Magnesium salicylate (USP); D00903; Diclofenac potassium (USP); D00904; Diclofenac sodium (JP18/USP); D00968; Fenoprofen calcium (JAN/USP); D00969; Meloxicam (JAN/USP/INN); D00970; Naproxen sodium (USP); D01049; Nimesulide (JAN/INN); D01122; Ibuprofen piconol (JP18/USAN); D01183; Tolfenamic acid (JAN/INN); D01252; Alclofenac (JAN/USP/INN); D01271; Bufexamac (JAN/INN); D01325; Tiaprofenic acid (JAN/INN); D01344; Fenbufen (JP18/USAN/INN); D01397; Ampiroxicam (JP18/INN); D01410; Benzydamine hydrochloride (JAN/USAN); D01475; Flurbiprofen axetil (JAN); D01513; Alminoprofen (JP18/INN); D01527; Epidihydrocholesterin (JAN); D01545; Aceclofenac (JAN/INN); D01547; Zaltoprofen (JP18/INN); D01557; Glycol salicylate (JAN); D01565; Indometacin farnesil (JAN); D01578; Pranoprofen (JP18/INN); D01581; Flufenamic acid (JAN/USAN/INN); D01582; Acemetacin (JP18/INN); D01675; Felbinac (JP18/USAN/INN); D01683; Ozagrel hydrochloride hydrate (JAN); D01684; Ozagrel sodium (JP18); D01709; Loxoprofen sodium hydrate (JP18); D01718; Mofezolac (JAN/INN); D01765; Proglumetacin maleate (JAN); D01767; Tenoxicam (JAN/USAN/INN); D01773; Oxatomide (JAN/USAN/INN); D01788; Amfenac sodium (USAN); D01811; Salicylamide (JAN/USP/INN); D01823; Ufenamate (JAN/INN); D01841; Felbinac ethyl (JAN); D01866; Lornoxicam (JAN/USAN/INN); D01974; Tilmacoxib (JAN/USAN/INN); D02110; Indomethacin sodium (USP); D02290; Flurbiprofen sodium (USP); D02341; Meclofenamic acid (USAN/INN); D02350; Fenoprofen (USAN/INN); D02355; Tolmetin (USAN/INN); D02709; Valdecoxib (USAN/INN); D02755; Acivicin (USAN/INN); D03010; Atreleuton (USAN/INN); D03080; Benoxaprofen (USAN/INN); D03163; Bromfenac sodium (USAN); D03254; Flufenamate aluminum (JAN); D03652; Darbufelone mesylate (USAN); D03661; Dazmegrel (USAN/INN); D03663; Dazoxiben hydrochloride (USAN); D03689; Deracoxib (USAN); D03710; Etoricoxib (USAN/INN); D03712; Firocoxib (USAN/INN); D03714; Lumiracoxib (USAN/INN); D03715; Dexibuprofen (USAN/INN); D03716; Parecoxib (USAN/INN); D03717; Parecoxib sodium (USAN); D03718; Dexibuprofen lysine (USAN); D03882; Docebenone (USAN/INN); D03938; Ecopladib (USAN/INN); D03990; Enazadrem phosphate (USAN); D04102; Etofenamate (USAN/INN); D04151; Fenleuton (USAN/INN); D04276; Furegrelate sodium (USAN); D04490; Ibuprofen aluminum (USAN); D04770; Lonapalene (USAN); D04863; Mavacoxib (USAN); D05143; Nepafenac (JAN/USAN/INN); D05181; Aspirin aluminum (JP18); D05275; Orpanoxin (USAN/INN); D05319; Oxyphenbutazone hydrate; D05451; Phenbutazone sodium glycerate (USAN); D05498; Piriprost (USAN/INN); D05499; Piriprost potassium (USAN); D05502; Pirmagrel (USAN/INN); D05511; Piroxicam betadex (USAN); D05512; Piroxicam cinnamate (USAN); D05513; Piroxicam olamine (USAN); D05598; Pravadoline maleate (USAN); D05727; Ridogrel (USAN/INN); D05791; Salicylate meglumine (USAN); D06017; Tebufelone (USAN/INN); D06072; Tenidap (USAN/INN); D06073; Tenidap sodium (USAN); D06075; Tepoxalin (USAN/INN); D06364; Zidometacin (USAN/INN); D06600; Giripladib (USAN); D06606; Ibuprofen lysine (USAN); D06674; Efipladib (USAN); D07141; Indobufen (INN); D07142; Triflusal (INN); D07267; Droxicam (INN); D07268; Ibuproxam (INN); D07269; Dexketoprofen (INN); D07294; Propacetamol (INN); D07421; Aloxiprin (INN); D07443; Amfenac (INN); D07453; Amtolmetin guacil (INN); D07516; Benzydamine (INN); D07517; Benzydamine salicylate; D07541; Bromfenac (INN); D07579; Aspirin calcium salt; D07580; Aspirin DL-lysine (JAN); D07581; Aspirin magnesium salt; D07582; Aspirin sodium; D07816; Diclofenac (USAN/INN); D07817; Diclofenac diethylamine; D07818; Diclofenac epolamine; D07819; Diclofenac calcium; D07888; Eltenac (INN); D08058; Ibuprofen arginine salt; D08059; Ibuprofen sodium; D08102; Ketoprofen lysine; D08103; Ketoprofen sodium; D08104; Ketorolac (INN); D08149; Loxoprofen (INN); D08162; Meclofenamate sodium; D08275; Niflumic acid (INN); D08324; Oxyphenbutazone (INN); D08327; Ozagrel (INN); D08363; Phenylbutazone calcium; D08364; Phenylbutazone sodium; D08374; Piketoprofen (INN); D08375; Piketoprofen hydrochloride; D08427; Proglumetacin (INN); D08434; Propacetamol hydrochloride; D08501; Trolamine salicylate (USP); D08657; Apricoxib (USAN/INN); D09568; Naproxcinod (USAN/INN); D09667; Setileuton (USAN/INN); D09760; Ibuprofen sodium (USAN); D10017; Naproxen etemesil (USAN); D10254; Esflurbiprofen (JAN); D10656; Polmacoxib (USAN/INN); D12510; Utreloxastat (USAN/INN); D12595; Aspirin trelamine (USAN); D12596; Aspirin trelamine hydrochloride (USAN); D12597; Ibuprofen trelamine (USAN); D12598; Ibuprofen trelamine hydrochloride (USAN)	Linoleic acid metabolism
hsa00591	Linoleic acid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	PLA2G10; PLA2G2D; PLA2G2E; PLA2G3; PLA2G2F; PLA2G12A; PLA2G12B; PLA2G1B; PLA2G5; PLA2G2A; PLA2G2C; PLA2G4E; PLA2G4A; JMJD7-PLA2G4B; PLA2G4B; PLA2G4C; PLA2G4D; PLA2G4F; PLA2G6; PLB1; PLAAT3; PLAAT2; ALOX15; CYP1A2; CYP2C8; CYP2C9; CYP2C19; CYP2J2; CYP2E1; CYP3A4	D12510; Utreloxastat (USAN/INN)	Arachidonic acid metabolism
hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	PLA2G10; PLA2G2D; PLA2G2E; PLA2G3; PLA2G2F; PLA2G12A; PLA2G12B; PLA2G1B; PLA2G5; PLA2G2A; PLA2G2C; PLA2G4E; PLA2G4A; JMJD7-PLA2G4B; PLA2G4B; PLA2G4C; PLA2G4D; PLA2G4F; PLA2G6; PLB1; PLAAT3; PLAAT2; FADS2; ACOX3; ACOX1; ACAA1	NA	NA
hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	Metabolism; Lipid metabolism	ELOVL1; ELOVL2; ELOVL3; ELOVL4; ELOVL5; ELOVL6; ELOVL7; HSD17B12; HACD2; HACD1; HACD4; HACD3; TECR; SCD; SCD5; FADS2; FADS1; ACOX3; ACOX1; HSD17B4; ACAA1; SCP2; ACOT4; ACOT2; ACOT1; ACOT7; BAAT	NA	NA
hsa00230	Purine metabolism - Homo sapiens (human)	Metabolism; Nucleotide metabolism	NUDT9; ADPRM; NUDT5; PGM1; PGM2; PRPS1L1; PRPS2; PRPS1; PPAT; GART; PFAS; PAICS; ADSL; ATIC; APRT; NT5C2; NT5C1A; NT5C1B; NT5C; NT5M; NT5C1B-RDH14; NT5DC4; NT5E; PNP; LACC1; HPRT1; IMPDH1; IMPDH2; NME6; NME7; NME2; NME4; NME1; NME3; NME1-NME2; AK9; ENTPD3; ENTPD8; ENTPD1; CANT1; ENTPD4; ENTPD5; ENTPD6; NUDT16; ITPA; XDH; NUDT2; GMPS; GMPR; GMPR2; GDA; GUK1; RRM1; RRM2B; RRM2; HDDC2; DGUOK; DCK; HDDC3; PRUNE1; ADCY1; ADCY2; ADCY3; ADCY4; ADCY5; ADCY6; ADCY7; ADCY8; ADCY9; ADCY10; GUCY1A2; GUCY1A1; GUCY1B1; GUCY2C; GUCY2D; GUCY2F; NPR1; NPR2; PDE1A; PDE1B; PDE1C; PDE2A; PDE3A; PDE3B; PDE5A; PDE6A; PDE6B; PDE6C; PDE6D; PDE6G; PDE6H; PDE9A; PDE10A; PDE11A; ADSS1; ADSS2; AMPD2; AMPD3; AMPD1; ADK; ADA; ADA2; AK7; AK4; AK5; AK2; AK1; AK8; AK6; AK3; ENTPD2; NTPCR; ENPP1; ENPP3; PDE4A; PDE4B; PDE4C; PDE4D; PDE7A; PDE7B; PDE8B; PDE8A; FHIT; ENPP4; PAPSS2; PAPSS1; URAD; ALLC	D00155; Pentostatin (JAN/USAN/INN); D00161; Mercaptopurine (USP); D00224; Allopurinol (JP18/USP/INN); D00231; Inamrinone (USP); D00341; Hydroxyurea (USP); D00417; Milrinone (JAN/USP/INN); D00752; Mycophenolate mofetil (JAN/USP); D01155; Gemcitabine hydrochloride (JAN/USP); D01206; Febuxostat (JAN/USAN/INN); D01370; Cladribine (JAN/USP/INN); D01392; Mizoribine (JP18/INN); D01896; Cilostazol (JP18/USP/INN); D01907; Fludarabine phosphate (JAN/USP); D02008; Tadalafil (JAN/USP/INN); D02042; Olprinone hydrochloride hydrate (JAN); D02084; Inamrinone ethylenelactate; D02085; Milrinone lactate; D02365; Oxypurinol (USAN); D02368; Gemcitabine (USAN/INN); D02896; Amflutizole (USAN/INN); D02933; Anagrelide hydrochloride (USP); D03378; Caracemide (USAN); D03546; Clofarabine (JAN/USAN/INN); D03828; Pemetrexed disodium (USAN); D04004; Enoximone (USAN/INN); D04245; Forodesine hydrochloride (JAN/USAN); D04508; Imazodan hydrochloride (USAN); D04529; Indolidan (USAN/INN); D04628; Isomazole hydrochloride (USAN); D04751; Lixazinone sulfate (USAN); D04766; Lometrexol sodium (USAN); D04931; Mercaptopurine (INN); D04936; Merimepodib (USAN/INN); D05094; Mycophenolate mofetil hydrochloride (USAN); D05095; Mycophenolate sodium (USP); D05096; Mycophenolic acid (USAN/INN); D05396; Peldesine (USAN); D05400; Pelitrexol (USAN/INN); D06100; Tezacitabine (USAN); D06109; Thioguanine (USP); D06130; Tiazofurin (USAN); D06503; Pemetrexed sodium hydrate (JAN); D06596; Forodesine (USAN/INN); D07278; Tisopurine (INN); D07455; Anagrelide (INN/BAN); D07472; Pemetrexed (INN); D07564; Allopurinol sodium; D07966; Fludarabine (INN); D08294; Olprinone (INN); D08603; Tioguanine (INN); D08860; Apremilast (JAN/USAN); D09020; Tofimilast (INN/USAN); D09621; Gisadenafil (USAN/INN); D09622; Gisadenafil besylate (USAN); D09786; Topiroxostat (JAN/INN); D09822; Theosalicin (JAN); D10222; Gemcitabine elaidate (USAN/INN); D10255; Anagrelide hydrochloride hydrate (JAN); D10431; Ulodesine (USAN/INN); D10432; Ulodesine succinate (USAN); D10596; Pemetrexed sodium hemipentahydrate (JAN); D10963; Oleclumab (USAN/INN); D10976; Recanaclotide (USAN/INN); D11081; Febuxostat hydrate (JAN); D11314; Difamilast (JAN/USAN); D11352; Pemetrexed tromethamine (USAN); D12203; Tovinontrine (USAN/INN); D12373; Quemliclustat (USAN/INN); D12387; Fosgemcitabine palabenamide (USAN/INN); D12401; Uliledlimab (USAN/INN); D12516; Zagociguat (USAN/INN)	Pentose phosphate pathway; Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Glyoxylate and dicarboxylate metabolism; Thiamine metabolism; Riboflavin metabolism; Folate biosynthesis
hsa00240	Pyrimidine metabolism - Homo sapiens (human)	Metabolism; Nucleotide metabolism	CAD; DHODH; UMPS; CMPK1; CMPK2; NME6; NME7; NME2; NME4; NME1; NME3; NME1-NME2; AK9; ENTPD3; ENTPD8; ENTPD1; CANT1; ENTPD4; ENTPD5; ENTPD6; ENPP1; ENPP3; ASMTL; NUDT2; CTPS1; CTPS2; UCK1; UCK2; UCKL1; NT5C2; NT5C1A; NT5C1B; NT5C; NT5M; NT5C1B-RDH14; NT5DC4; NT5E; UPP2; UPP1; NT5C3A; NT5C3B; CDA; RRM1; RRM2B; RRM2; DCTPP1; HDDC2; DCK; DCTD; DTYMK; DUT; TYMP; TK2; TK1; TYMS; DPYD; DPYS; UPB1	D00341; Hydroxyurea (USP); D00584; Fluorouracil (JP18/USP/INN); D00749; Leflunomide (JAN/USP/INN); D01064; Raltitrexed (JAN/USAN/INN); D01155; Gemcitabine hydrochloride (JAN/USP); D01223; Capecitabine (JAN/USP/INN); D01244; Tegafur (JP18/USAN/INN); D01309; Doxifluridine (JP18/INN); D01370; Cladribine (JAN/USP/INN); D01784; Carmofur (JP18/INN); D01846; Gimeracil (JAN/INN); D01907; Fludarabine phosphate (JAN/USP); D02368; Gemcitabine (USAN/INN); D03154; Brequinar sodium (USAN); D03378; Caracemide (USAN); D03546; Clofarabine (JAN/USAN/INN); D04197; Floxuridine (USP/INN); D04245; Forodesine hydrochloride (JAN/USAN); D04964; Metesind glucuronate (USAN); D05396; Peldesine (USAN); D06100; Tezacitabine (USAN); D06596; Forodesine (USAN/INN); D07966; Fludarabine (INN); D07974; Fluorouracil sodium salt; D10172; Teriflunomide (USAN); D10222; Gemcitabine elaidate (USAN/INN); D10431; Ulodesine (USAN/INN); D10432; Ulodesine succinate (USAN); D10803; Plevitrexed (INN); D10963; Oleclumab (USAN/INN); D11447; Arfolitixorin (USAN/INN); D11890; Emvododstat (USAN); D12373; Quemliclustat (USAN/INN); D12387; Fosgemcitabine palabenamide (USAN/INN); D12388; Fosifloxuridine nafalbenamide; D12401; Uliledlimab (USAN/INN); D12465; Doxecitine (USAN/INN); D12466; Doxribtimine (USAN/INN); D12528; Arfolitixorin sulfate (JAN)	Pentose phosphate pathway; Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism
hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	GOT1; GOT1L1; GOT2; IL4I1; DDO; ASRGL1; ASNS; NIT2; GPT2; GPT; AGXT; AGXT2; ASS1; ASL; ADSS1; ADSS2; ADSL; NAT8L; RIMKLB; RIMKLA; FOLH1; ASPA; GAD1; GAD2; ABAT; ALDH5A1; GLUD2; GLUD1; ALDH4A1; GLUL; CAD; GLS2; GLS; CPS1; GFPT2; GFPT1; PPAT	D07130; Carglumic acid (JAN/USAN/INN)	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Arginine biosynthesis; Purine metabolism; Pyrimidine metabolism; Glycine, serine and threonine metabolism; Arginine and proline metabolism; Histidine metabolism; beta-Alanine metabolism; D-Amino acid metabolism; Glutathione metabolism; Amino sugar and nucleotide sugar metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism; Pantothenate and CoA biosynthesis; Porphyrin metabolism; Nitrogen metabolism
hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	SHMT2; SHMT1; AGXT; GRHPR; GLYCTK; PGAM1; PGAM2; PGAM4; BPGM; PHGDH; PSAT1; PSPH; GCAT; ALAS1; ALAS2; MAOB; MAOA; AOC3; AOC2; GLDC; AMT; DLD; GCSH; DAO; AGXT2; GATM; GAMT; CHDH; ALDH7A1; BHMT; DMGDH; PIPOX; SARDH; GNMT; CBS; CBS; CTH; SDS; SDSL; SRR	D00505; Phenelzine sulfate (USP); D00826; Tranylcypromine sulfate (USP); D01888; Safrazine hydrochloride (JAN); D02559; Toloxatone (INN); D02560; Brofaromine (INN); D02561; Moclobemide (USAN/INN); D02563; Befloxatone (INN); D02579; Iproniazid (INN); D02580; Isocarboxazid (INN); D03248; Clorgiline (INN); D03409; Caroxazone (USAN/INN); D07337; Nialamide (INN); D07338; Iproclozide (INN); D08085; Iproniazid phosphate; D08349; Phenelzine (BAN); D08392; Pirlindole (INN); D08393; Pirlindole hydrochloride; D08625; Tranylcypromine (INN)	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Purine metabolism; Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Valine, leucine and isoleucine biosynthesis; Arginine and proline metabolism; D-Amino acid metabolism; Glycerophospholipid metabolism; Sphingolipid metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Porphyrin metabolism; Sulfur metabolism
