pathway,rank,gene,hub_score,degree,betweenness,expr_variance,pathway_connectivity
Purine metabolism - Homo sapiens (human),5,PDE10A,0.224022,1,0.000000,2.408475,1
Pyrimidine metabolism - Homo sapiens (human),1,TK2,0.415826,3,0.043956,0.264579,3
Pyrimidine metabolism - Homo sapiens (human),2,RRM2B,0.279765,2,0.032967,0.321641,2
Pyrimidine metabolism - Homo sapiens (human),3,TK1,0.272198,2,0.000000,0.554523,2
Pyrimidine metabolism - Homo sapiens (human),4,DCK,0.268806,2,0.000000,0.214506,2
Pyrimidine metabolism - Homo sapiens (human),5,RRM1,0.135022,1,0.000000,0.169337,1
Selenocompound metabolism - Homo sapiens (human),1,INMT,0.015838,0,0.000000,1.587930,0
Selenocompound metabolism - Homo sapiens (human),2,PAPSS2,0.014822,0,0.000000,1.486063,0
Selenocompound metabolism - Homo sapiens (human),3,CTH,0.009482,0,0.000000,0.950637,0
Selenocompound metabolism - Homo sapiens (human),4,SEPHS2,0.003838,0,0.000000,0.384841,0
Selenocompound metabolism - Homo sapiens (human),5,PSTK,0.002949,0,0.000000,0.295703,0
Starch and sucrose metabolism - Homo sapiens (human),1,SI,0.409890,3,0.032967,0.000000,3
Starch and sucrose metabolism - Homo sapiens (human),2,MGAM,0.156397,1,0.000000,2.312393,1
Starch and sucrose metabolism - Homo sapiens (human),3,GAA,0.143072,1,0.000000,0.976351,1
Starch and sucrose metabolism - Homo sapiens (human),4,PGM1,0.139363,1,0.000000,0.604533,1
Starch and sucrose metabolism - Homo sapiens (human),5,AGL,0.138168,1,0.000000,0.484718,1
Steroid biosynthesis - Homo sapiens (human),1,NSDHL,0.448676,6,0.151515,0.323025,6
Steroid biosynthesis - Homo sapiens (human),2,FDFT1,0.366340,5,0.090909,0.574885,5
Steroid biosynthesis - Homo sapiens (human),3,DHCR24,0.271680,4,0.000000,0.502650,4
Steroid biosynthesis - Homo sapiens (human),4,DHCR7,0.271466,4,0.000000,0.481219,4
Steroid biosynthesis - Homo sapiens (human),5,EBP,0.270831,4,0.000000,0.417530,4
Steroid hormone biosynthesis - Homo sapiens (human),1,HSD3B2,0.439939,5,0.000000,4.004219,5
Steroid hormone biosynthesis - Homo sapiens (human),2,AKR1C2,0.423812,5,0.000000,2.387418,5
Steroid hormone biosynthesis - Homo sapiens (human),3,HSD17B3,0.422465,5,0.000000,2.252333,5
Steroid hormone biosynthesis - Homo sapiens (human),4,CYP11A1,0.414364,5,0.000000,1.440168,5
Steroid hormone biosynthesis - Homo sapiens (human),5,CYP17A1,0.411710,5,0.000000,1.174015,5
Taurine and hypotaurine metabolism - Homo sapiens (human),1,GAD1,0.050880,0,0.000000,5.101144,0
Taurine and hypotaurine metabolism - Homo sapiens (human),2,FMO2,0.040615,0,0.000000,4.072059,0
Taurine and hypotaurine metabolism - Homo sapiens (human),3,GGT6,0.039023,0,0.000000,3.912431,0
Taurine and hypotaurine metabolism - Homo sapiens (human),4,BAAT,0.034645,0,0.000000,3.473447,0
Taurine and hypotaurine metabolism - Homo sapiens (human),5,GGT7,0.021543,0,0.000000,2.159837,0
Tryptophan metabolism - Homo sapiens (human),1,ALDH7A1,0.408575,3,0.015810,0.384210,3
Tryptophan metabolism - Homo sapiens (human),2,GCDH,0.271926,2,0.011858,0.170688,2
Tryptophan metabolism - Homo sapiens (human),3,ALDH3A2,0.271042,2,0.000000,0.438709,2
Tryptophan metabolism - Homo sapiens (human),4,ALDH2,0.270183,2,0.000000,0.352526,2
Tryptophan metabolism - Homo sapiens (human),5,MAOB,0.175860,1,0.000000,4.263673,1
Tyrosine metabolism - Homo sapiens (human),1,TYR,0.408835,2,0.009524,0.599357,2
Tyrosine metabolism - Homo sapiens (human),2,MAOB,0.242526,1,0.000000,4.263673,1
Tyrosine metabolism - Homo sapiens (human),3,TH,0.232504,1,0.000000,3.258844,1
Tyrosine metabolism - Homo sapiens (human),4,TYRP1,0.227755,1,0.000000,2.782659,1
Tyrosine metabolism - Homo sapiens (human),5,MAOA,0.217682,1,0.000000,1.772818,1
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),1,NQO1,0.012358,0,0.000000,1.239043,0
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),2,HPD,0.006043,0,0.000000,0.605913,0
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),3,COQ3,0.003763,0,0.000000,0.377308,0
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),4,COQ2,0.003037,0,0.000000,0.304528,0
Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),5,COQ6,0.002094,0,0.000000,0.209972,0
Valine, leucine and isoleucine biosynthesis - Homo sapiens (human),1,BCAT1,0.021652,0,0.000000,2.170832,0
Valine, leucine and isoleucine biosynthesis - Homo sapiens (human),2,SDSL,0.004676,0,0.000000,0.468852,0
Valine, leucine and isoleucine biosynthesis - Homo sapiens (human),3,BCAT2,0.003359,0,0.000000,0.336727,0
Valine, leucine and isoleucine biosynthesis - Homo sapiens (human),4,SBDS,0.001978,0,0.000000,0.198267,0
Valine, leucine and isoleucine degradation - Homo sapiens (human),1,ACADSB,0.415477,8,0.039886,0.352069,8
Valine, leucine and isoleucine degradation - Homo sapiens (human),2,ACAD8,0.356425,7,0.017094,0.130036,7
Valine, leucine and isoleucine degradation - Homo sapiens (human),3,HIBCH,0.259279,5,0.022792,0.244731,5
Valine, leucine and isoleucine degradation - Homo sapiens (human),4,ACADS,0.207105,4,0.000000,0.712366,4
Valine, leucine and isoleucine degradation - Homo sapiens (human),5,IVD,0.203309,4,0.000000,0.331713,4
Various types of N-glycan biosynthesis - Homo sapiens (human),1,ALG13,0.402122,6,0.000000,0.212751,6
Various types of N-glycan biosynthesis - Homo sapiens (human),2,ALG1,0.401728,6,0.000000,0.173233,6
Various types of N-glycan biosynthesis - Homo sapiens (human),3,ALG3,0.401720,6,0.000000,0.172479,6
Various types of N-glycan biosynthesis - Homo sapiens (human),4,ALG12,0.401569,6,0.000000,0.157273,6
Various types of N-glycan biosynthesis - Homo sapiens (human),5,ALG2,0.401403,6,0.000000,0.140636,6
beta-Alanine metabolism - Homo sapiens (human),1,ALDH6A1,0.406572,3,0.000000,0.658900,3
beta-Alanine metabolism - Homo sapiens (human),2,ALDH3A2,0.404376,3,0.000000,0.438709,3
beta-Alanine metabolism - Homo sapiens (human),3,ALDH7A1,0.403832,3,0.000000,0.384210,3
beta-Alanine metabolism - Homo sapiens (human),4,ALDH2,0.403516,3,0.000000,0.352526,3
beta-Alanine metabolism - Homo sapiens (human),5,ACADS,0.273772,2,0.000000,0.712366,2
